Dataset,Algorithm,Attack,seed,had_cache,new_test_mae,d_test_mae,new_test_rmse,d_test_rmse,new_test_mape,d_test_mape,new_test_accuracy,d_test_accuracy,new_test_macro_f1,d_test_macro_f1,new_test_macro_recall,d_test_macro_recall,new_test_auc,d_test_auc,new_sec_trust_auc,d_sec_trust_auc,new_sec_malicious_weight_mass,d_sec_malicious_weight_mass,new_sec_tdr,d_sec_tdr,new_sec_fpr,d_sec_fpr,worst_delta,changed
PEMS-BAY,Static-Mamdani-FL,No_Attack,43,True,0.9190477728843689,0.0,1.644948124885559,0.0,1.765432357788086,0.0,0.95125,0.0,0.8530706842264525,0.0,0.8500955084833365,0.0,0.9957463621181948,0.0,,,0.0,0.0,,,,,0.0,False
PEMS-BAY,Static-Mamdani-FL,No_Attack,44,True,0.9184771776199341,0.0,1.6353729963302612,0.0,1.7668853998184204,0.0,0.95115,0.0,0.8504055025125064,0.0,0.8481903848049444,0.0,0.9958485211950764,0.0,,,0.0,0.0,,,,,0.0,False
PEMS-BAY,Static-Mamdani-FL,No_Attack,45,True,0.911547839641571,0.0,1.6164244413375854,0.0,1.7574913501739502,0.0,0.9512,0.0,0.8524608171416677,0.0,0.8451604844258899,0.0,0.9959058830796017,0.0,,,0.0,0.0,,,,,0.0,False
PEMS-BAY,Static-Mamdani-FL,No_Attack,46,True,0.9132569432258606,0.0,1.6249351501464844,0.0,1.7582098245620728,0.0,0.9513,0.0,0.8510449176300856,0.0,0.8424413732752332,0.0,0.9959902514499146,0.0,,,0.0,0.0,,,,,0.0,False
PEMS-BAY,Static-Mamdani-FL,No_Attack,47,True,0.9106980562210083,0.0,1.6119191646575928,0.0,1.7519947290420532,0.0,0.95165,0.0,0.8525282454522619,0.0,0.8446072376340862,0.0,0.9959998366639756,0.0,,,0.0,0.0,,,,,0.0,False
PEMS-BAY,Static-Mamdani-FL,Sybil_Poisoning,42,True,1.9238351583480835,0.0,2.377375364303589,0.0,3.742178201675415,0.0,0.9146,0.0,0.7664408312894392,0.0,0.7865093760141375,0.0,0.9957507457573566,0.0,1.0,0.0,0.19249707141169986,0.0,0.0,0.0,0.0,0.0,0.0,False
PEMS-BAY,Static-Mamdani-FL,Sybil_Poisoning,43,True,2.2829205989837646,0.0,2.684782028198242,0.0,4.379762649536133,0.0,0.89575,0.0,0.7348059865187236,0.0,0.7641806570611751,0.0,0.9958891279236781,0.0,1.0,0.0,0.19123782576628057,0.0,0.0,0.0,0.0,0.0,0.0,False
PEMS-BAY,Static-Mamdani-FL,Sybil_Poisoning,44,True,2.0633718967437744,0.0,2.5197973251342773,0.0,4.077815055847168,0.0,0.9097,0.0,0.740379565714123,0.0,0.7629810103626223,0.0,0.995875100610812,0.0,1.0,0.0,0.1983232931727848,0.0,0.0,0.0,0.0,0.0,0.0,False
PEMS-BAY,Static-Mamdani-FL,Sybil_Poisoning,45,True,2.0195367336273193,0.0,2.484569549560547,0.0,3.9860222339630127,0.0,0.91365,0.0,0.7454801161186906,0.0,0.7649194576234972,0.0,0.995842705696175,0.0,1.0,0.0,0.19627430483776376,0.0,0.0,0.0,0.0,0.0,0.0,False
PEMS-BAY,Static-Mamdani-FL,Sybil_Poisoning,46,True,2.2810235023498535,0.0,2.712711811065674,0.0,4.467172622680664,0.0,0.8913,0.0,0.7219772196089652,0.0,0.7566596533511818,0.0,0.99578584489673,0.0,1.0,0.0,0.20789280720181746,0.0,0.0,0.0,0.0,0.0,0.0,False
