Dataset,Attack,Algorithm,n_seeds,test_mae_mean,test_mae_std,test_mae_n,test_rmse_mean,test_rmse_std,test_rmse_n,test_mape_mean,test_mape_std,test_mape_n,test_accuracy_mean,test_accuracy_std,test_accuracy_n,test_macro_f1_mean,test_macro_f1_std,test_macro_f1_n,test_macro_recall_mean,test_macro_recall_std,test_macro_recall_n,test_macro_precision_mean,test_macro_precision_std,test_macro_precision_n,test_auc_mean,test_auc_std,test_auc_n,sec_trust_auc_mean,sec_trust_auc_std,sec_trust_auc_n,sec_malicious_weight_mass_mean,sec_malicious_weight_mass_std,sec_malicious_weight_mass_n,sec_tdr_mean,sec_tdr_std,sec_tdr_n,sec_fpr_mean,sec_fpr_std,sec_fpr_n,sec_mean_trust_benign_mean,sec_mean_trust_benign_std,sec_mean_trust_benign_n,sec_mean_trust_malicious_mean,sec_mean_trust_malicious_std,sec_mean_trust_malicious_n,sec_trust_margin_mean,sec_trust_margin_std,sec_trust_margin_n
PEMS-BAY,Byzantine_Noise,FLTrust,6,0.9588925639788309,0.022166189527373256,6,1.6923600037892659,0.027258297650086045,6,1.8865051070849101,0.09565994125426848,6,0.9491499999999999,0.0015658863304850782,6,0.8434452792285857,0.009230459726220091,6,0.833611012192899,0.014524734330995622,6,0.8551834706739881,0.008242177483513873,6,0.9956921325666265,0.00012648553494551743,6,0.7380952380952381,0.17689691067625438,6,0.061825636098306984,0.06664370427726614,6,1.0,0.0,6,1.0,0.0,6,0.020783843688799864,0.009596208452866692,6,0.0021539057682578764,0.0021390117897994096,6,0.01862993792054199,0.01139807187083569,6
PEMS-BAY,Byzantine_Noise,FedAvg,6,2.8676735361417136,1.5918276675485417,6,3.503457228342692,1.4701395144029759,6,5.215636412302653,2.55815936306181,6,0.911525,0.02011732462331909,6,0.7148602951702019,0.10502866120666834,6,0.6982291723372743,0.12996255820111693,6,0.7739344992662036,0.04627122363831795,6,0.994633517371228,0.0009717051968897445,6,0.5,0.0,6,0.3,0.0,6,0.0,0.0,6,0.0,0.0,6,0.5,0.0,6,0.5,0.0,6,0.0,0.0,6
PEMS-BAY,Byzantine_Noise,FedProx,6,0.9520023862520853,0.022342197676839815,6,1.6463802854220073,0.014417097940405776,6,1.8314782778422039,0.03206409958676443,6,0.951225,0.0004644889664997403,6,0.8496456204644373,0.002525998273175712,6,0.8421388753794193,0.006674013574313426,6,0.8584792614993129,0.003229294775679586,6,0.9960135631190563,1.6411065543841702e-05,6,0.5,0.0,6,0.3,0.0,6,0.0,0.0,6,0.0,0.0,6,0.5,0.0,6,0.5,0.0,6,0.0,0.0,6
PEMS-BAY,Byzantine_Noise,Multi-Krum,6,0.9204518695672353,0.00511170888351134,6,1.6391608516375225,0.013919730843370382,6,1.774666170279185,0.01675175769303145,6,0.9512666666666666,0.0005363456596884729,6,0.852111181811939,0.002105972988055654,6,0.8464477866464649,0.002313607483384608,6,0.8587731173836085,0.0042561743601909185,6,0.9958379241901011,8.731064008845224e-05,6,1.0,0.0,6,0.0,0.0,6,1.0,0.0,6,0.14285714285714282,3.0404709722440586e-17,6,0.6666666666666666,7.021666937153402e-17,6,0.11111111111111112,0.0,6,0.5555555555555555,7.021666937153402e-17,6
PEMS-BAY,Byzantine_Noise,SCAFFOLD,6,0.9528104662895203,0.0038133564358378692,6,1.6749688585599263,0.0059635782526728884,6,1.8251230518023174,0.011541220512194552,6,0.9490750000000001,0.0005438290172471372,6,0.8467946774679126,0.0020872159693955594,6,0.8433867552004318,0.002869454574947212,6,0.8506738159324572,0.001639994670992016,6,0.9959578474448542,1.9183344243599446e-05,6,0.5,0.0,6,0.3,0.0,6,0.0,0.0,6,0.0,0.0,6,0.5,0.0,6,0.5,0.0,6,0.0,0.0,6
PEMS-BAY,Byzantine_Noise,Static-Mamdani-FL,6,1.3624462683995564,0.4771723592517235,6,1.9688825011253357,0.39939435575303467,6,2.510950446128845,0.738818148030576,6,0.9422499999999999,0.005019561733856849,6,0.8286284532767195,0.013465509535367645,6,0.8126048928459385,0.03225847748105961,6,0.8509977359996372,0.0111083229917903,6,0.9955510943410029,0.00020334447795184279,6,1.0,0.0,6,0.14774573505524144,0.009572309762109954,6,0.4444444444444444,0.2721655269759087,6,0.0,0.0,6,0.8629788321535051,0.04842266709485913,6,0.34858889945157673,0.022538703851329146,6,0.5143899327019285,0.04918156944199403,6
PEMS-BAY,Byzantine_Noise,ZeroTrust-ANFIS-FL,6,0.9224386215209961,0.0054226175569794845,6,1.641421139240265,0.01751239647277403,6,1.779287874698639,0.014021411931003697,6,0.9511,0.0004560701700396561,6,0.8511550294229685,0.001647299140618746,6,0.8452457305525655,0.0021094805194317016,6,0.8581856252507617,0.004442096485721875,6,0.9958227197230172,7.717382731922757e-05,6,1.0,0.0,6,0.0,0.0,6,1.0,0.0,6,0.0,0.0,6,0.6942861160788637,0.007972765239737195,6,0.22309321464166273,0.020387260661820367,6,0.47119290143720094,0.026577268785414877,6
PEMS-BAY,Label_Flipping,FLTrust,6,1.2066989541053772,0.23036364907943319,6,1.997002124786377,0.2884277772340987,6,2.5422558983167014,0.6526195595134778,6,0.9423666666666666,0.008910592946974225,6,0.791793310283346,0.06645011253999974,6,0.786366740197864,0.07886156095377106,6,0.8154464933042238,0.03687622702338528,6,0.995832629673016,0.00012367009296329628,6,0.9126984126984127,0.09118353407203221,6,0.04142821562834622,0.07627708477170299,6,1.0,0.0,6,1.0,0.0,6,0.06309546331509149,0.07563536284601882,6,0.0036323473581837285,0.007153326294834304,6,0.059463115956907765,0.07775379299901254,6
PEMS-BAY,Label_Flipping,FedAvg,6,2.479117274284363,0.347242547389081,6,3.423098882039388,0.5427467732812556,6,5.357948382695516,0.8720122701380387,6,0.9040499999999999,0.02041560677520997,6,0.5615259286509219,0.133080767526561,6,0.5429430786520989,0.13002951727103054,6,0.6959459722268666,0.07588201151932371,6,0.9944648651286278,0.0018102949593465513,6,0.5,0.0,6,0.3,0.0,6,0.0,0.0,6,0.0,0.0,6,0.5,0.0,6,0.5,0.0,6,0.0,0.0,6
PEMS-BAY,Label_Flipping,FedProx,6,3.120391567548116,0.08385660377056313,6,5.1220293045043945,0.1593044085326051,6,7.888895193735759,0.2367228759751019,6,0.8637,0.004666047577982914,6,0.3097881419913278,0.010915759060900006,6,0.3065751002895281,0.01149473240496848,6,0.32023571644412513,0.009762505476324694,6,0.9956724036999375,0.00012677317542729804,6,0.5,0.0,6,0.3,0.0,6,0.0,0.0,6,0.0,0.0,6,0.5,0.0,6,0.5,0.0,6,0.0,0.0,6
PEMS-BAY,Label_Flipping,Multi-Krum,6,0.9204518695672353,0.00511170888351134,6,1.6391608516375225,0.013919730843370382,6,1.774666170279185,0.01675175769303145,6,0.9512666666666666,0.0005363456596884729,6,0.852111181811939,0.002105972988055654,6,0.8464477866464649,0.002313607483384608,6,0.8587731173836085,0.0042561743601909185,6,0.9958379241901011,8.731064008845224e-05,6,1.0,0.0,6,0.0,0.0,6,1.0,0.0,6,0.14285714285714282,3.0404709722440586e-17,6,0.6666666666666666,7.021666937153402e-17,6,0.11111111111111112,0.0,6,0.5555555555555555,7.021666937153402e-17,6
PEMS-BAY,Label_Flipping,SCAFFOLD,6,1.624769111474355,1.0116352894477574,6,2.6894225676854453,1.632727508817753,6,3.555739243825277,2.676644348690983,6,0.9196416666666666,0.041362512214161595,6,0.6997724027222931,0.22183737563248707,6,0.6840320450938461,0.2145752414362784,6,0.7304901198472876,0.23101467981402624,6,0.9940095709227394,0.003491009887795904,6,0.5,0.0,6,0.3,0.0,6,0.0,0.0,6,0.0,0.0,6,0.5,0.0,6,0.5,0.0,6,0.0,0.0,6
PEMS-BAY,Label_Flipping,Static-Mamdani-FL,6,1.7644960681597393,0.061856061123023685,6,2.5315876404444375,0.17539221994235668,6,3.8565436601638794,0.27364945334937646,6,0.9269416666666669,0.008755422129553022,6,0.6755275326536047,0.0580064890082421,6,0.6494308489760678,0.05896377712304891,6,0.7740443130113754,0.02709720825656037,6,0.9956147567403807,0.00014993894552415958,6,1.0,0.0,6,0.19773382731261524,0.00858426454154328,6,0.0,0.0,6,0.0,0.0,6,0.841875193597926,0.04447275536119641,6,0.48324418789124074,0.004652500561311386,6,0.35863100570668527,0.04330549111904857,6
PEMS-BAY,Label_Flipping,ZeroTrust-ANFIS-FL,6,0.9219077030817667,0.003435873336403564,6,1.6425671776135762,0.009839786890558075,6,1.7768224080403645,0.013020034849384854,6,0.9509916666666666,0.0005911147660705617,6,0.8513967847951127,0.0020884209177985855,6,0.8451955744736405,0.003381219619505901,6,0.8586702086868776,0.0029750114395799563,6,0.9958454572660803,4.5389239467592344e-05,6,1.0,0.0,6,0.0,0.0,6,1.0,0.0,6,0.0,0.0,6,0.6956824883007938,0.005504700149870339,6,0.3886929303768323,0.0073978455303863756,6,0.30698955792396154,0.007618274420369727,6
PEMS-BAY,No_Attack,FLTrust,6,0.946702778339386,0.025487142546887408,6,1.6729358832041423,0.03554847868979015,6,1.8351364135742188,0.05886211136017348,6,0.9495666666666668,0.0019782989325849466,6,0.8466946316228706,0.006199329365719623,6,0.8412478039411949,0.005373047506777667,6,0.8531385090449376,0.008844872529461596,6,0.9957988760341959,0.0001730506673446317,6,,,0,0.0,0.0,6,,,0,,,0,0.017728308027775103,0.009153964716387124,6,,,0,,,0
PEMS-BAY,No_Attack,FedAvg,6,0.9148412942886353,0.003990877350302745,6,1.6259954770406086,0.014106722027491338,6,1.7619743545850117,0.007895881560898096,6,0.9512999999999999,0.0002966479394838238,6,0.8517308279672776,0.0014839430057978606,6,0.845570687509396,0.0025196842505988055,6,0.8590363849435239,0.0025014674962764954,6,0.9959211227117698,0.00011603485648578551,6,,,0,0.0,0.0,6,,,0,,,0,0.5,0.0,6,,,0,,,0
PEMS-BAY,No_Attack,FedProx,6,0.9269234339396158,0.0020545635247648493,6,1.6282328565915425,0.002430815409148474,6,1.796699325243632,0.012889949201984264,6,0.9514499999999999,0.000384707681233448,6,0.8496825050608406,0.0027379247847044226,6,0.8423227546072933,0.003831843435108465,6,0.8580624054174276,0.003144250362559882,6,0.9959729107707079,2.068691348507618e-05,6,,,0,0.0,0.0,6,,,0,,,0,0.5,0.0,6,,,0,,,0
PEMS-BAY,No_Attack,Multi-Krum,6,0.9177508453528086,0.0056033407483417775,6,1.6339239875475566,0.015366828191781185,6,1.769693394502004,0.010018622254556917,6,0.951775,0.0004782781617427104,6,0.8533631028835434,0.001302222494137103,6,0.846463401117473,0.002633393100088489,6,0.8616012400648856,0.003911326073466077,6,0.9958542138504415,8.410156767136566e-05,6,,,0,0.0,0.0,6,,,0,,,0,0.5,8.599750569898517e-17,6,,,0,,,0
PEMS-BAY,No_Attack,SCAFFOLD,6,0.9444239636262258,0.0033487767621081218,6,1.655191699663798,0.003769573337621532,6,1.808245599269867,0.009864477976802385,6,0.9503499999999999,0.00030495901363954456,6,0.8511968231027115,0.001279022194660243,6,0.8475207984781443,0.0023968136273845066,6,0.8553225428148354,0.002289205526779687,6,0.9959957627685533,1.6373615811586268e-05,6,,,0,0.0,0.0,6,,,0,,,0,0.5,0.0,6,,,0,,,0
PEMS-BAY,No_Attack,Static-Mamdani-FL,6,0.9145115117232004,0.0035049971665459165,6,1.6272036631902058,0.01218528982513601,6,1.7596963445345561,0.005537469152764673,6,0.9514,0.00028284271247458785,6,0.8521243221218217,0.0011425188027350684,6,0.8463649619609629,0.0027911459799084934,6,0.8590302582246725,0.003063463001781925,6,0.9958876863792976,9.765550518566005e-05,6,,,0,0.0,0.0,6,,,0,,,0,0.8607298724990983,0.030771936793668242,6,,,0,,,0
PEMS-BAY,No_Attack,ZeroTrust-ANFIS-FL,6,0.9154882033665975,0.0036310004787710056,6,1.6269343892733257,0.014409980986972647,6,1.7627331813176472,0.0068334373242190235,6,0.9514250000000001,0.0002876629972728555,6,0.8524215512344703,0.001619884825499694,6,0.8466637909912356,0.0013668728326567737,6,0.8594331582545826,0.003361523878889579,6,0.9959573681102261,0.0001102156046738729,6,,,0,0.0,0.0,6,,,0,,,0,0.5538766778861102,0.0064395980806502065,6,,,0,,,0
PEMS-BAY,Sybil_Poisoning,FLTrust,6,2.2971351742744446,1.6642941482241942,6,2.9228739142417908,1.609884520754973,6,4.5499535004297895,3.117742330949085,6,0.8735333333333334,0.1340682239259798,6,0.6977083383972046,0.16965921703146816,6,0.7251666921810976,0.1201875821419134,6,0.7609632769757155,0.09626456960991862,6,0.9955498114385306,0.0003912213528044257,6,0.6309523809523809,0.2417575480065526,6,0.20749841590037998,0.19930533209502935,6,1.0,0.0,6,0.8333333333333334,0.408248290463863,6,0.0773583949914956,0.15529533581432906,6,0.009304578092673587,0.013033774139633296,6,0.06805381689882202,0.1598902649918498,6
PEMS-BAY,Sybil_Poisoning,FedAvg,6,3.0903602838516235,0.25038611379373704,6,3.5094133218129477,0.2067265673060696,6,5.982747634251912,0.38561286931338296,6,0.8482083333333333,0.018930066472853883,6,0.6371837491590903,0.029478775409152936,6,0.7003120819922314,0.022861088514227697,6,0.7207924257991989,0.010666909589238837,6,0.995797691981465,2.8535255536698295e-05,6,0.5,0.0,6,0.3,0.0,6,0.0,0.0,6,0.0,0.0,6,0.5,0.0,6,0.5,0.0,6,0.0,0.0,6
PEMS-BAY,Sybil_Poisoning,FedProx,6,3.370578726132711,0.08549723074914578,6,3.7914275328318277,0.10291292802576867,6,6.521817684173584,0.1901253835093065,6,0.8240750000000001,0.008840460960832328,6,0.5947751514117536,0.02180798074807278,6,0.6621617001348586,0.01754529164524954,6,0.7002569033573992,0.008435142635750558,6,0.9956937263907988,4.93790555533657e-05,6,0.5,0.0,6,0.3,0.0,6,0.0,0.0,6,0.0,0.0,6,0.5,0.0,6,0.5,0.0,6,0.0,0.0,6
PEMS-BAY,Sybil_Poisoning,Multi-Krum,6,0.920368899901708,0.005026165574996639,6,1.6371491352717082,0.014342296462497498,6,1.776585618654887,0.018883903822672337,6,0.9513083333333334,0.0005112892201745079,6,0.8525204816135711,0.001932984473229912,6,0.8459596606201342,0.0022371649771323835,6,0.860131696053409,0.0034149014848338984,6,0.9958428801643526,8.742055150640646e-05,6,1.0,0.0,6,0.0,0.0,6,1.0,0.0,6,0.14285714285714282,3.0404709722440586e-17,6,0.6666666666666666,7.021666937153402e-17,6,0.11111111111111112,0.0,6,0.5555555555555555,7.021666937153402e-17,6
PEMS-BAY,Sybil_Poisoning,SCAFFOLD,6,1.053892622391383,0.1750183168498315,6,1.770336925983429,0.11678361981069917,6,2.100586712360382,0.37849885971822916,6,0.9466,0.0025294268125407565,6,0.8275723443072351,0.018272065645176475,6,0.8212225697239615,0.02327948980155186,6,0.838548913556382,0.009331694483830038,6,0.995845019738943,0.00010102386787719758,6,0.5,0.0,6,0.3,0.0,6,0.0,0.0,6,0.0,0.0,6,0.5,0.0,6,0.5,0.0,6,0.0,0.0,6
PEMS-BAY,Sybil_Poisoning,Static-Mamdani-FL,6,2.1099508802096048,0.1446415971618216,6,2.5569488207499185,0.12609472249691187,6,4.135321378707886,0.2647999867548984,6,0.9046666666666668,0.009650474945134371,6,0.7398386932967239,0.015375105982107177,6,0.7655343598657254,0.010815483287028516,6,0.77748569088268,0.00925676903196054,6,0.9958177758342667,5.915660345489975e-05,6,1.0,0.0,6,0.19649589619133875,0.006179759630640763,6,0.0,0.0,6,0.0,0.0,6,0.8435473779050654,0.0348218985654902,6,0.4808403684791467,0.006539214892736928,6,0.3627070094259188,0.032584710683304666,6
PEMS-BAY,Sybil_Poisoning,ZeroTrust-ANFIS-FL,6,0.9217175741990408,0.0037637868876474853,6,1.6444427768389385,0.006242378361924767,6,1.7744356393814087,0.01276551545375467,6,0.9513416666666666,0.00021075261959621668,6,0.8523513878914145,0.0012287880110306902,6,0.8475460554734391,0.002718851337718331,6,0.8583760341458637,0.0031796226686073596,6,0.9958227024657241,7.697434426538176e-05,6,1.0,0.0,6,0.0,0.0,6,1.0,0.0,6,0.0,0.0,6,0.6859170760318026,0.008408717752175844,6,0.34334608182833026,0.01650148679524838,6,0.3425709942034723,0.01548838349145181,6
PEMS04,Byzantine_Noise,FLTrust,6,1.0459553599357605,0.024521275248495563,6,1.929684082667033,0.03162268885634098,6,1.9563087821006775,0.06327827928668169,6,0.9446749999999998,0.0017230060940112831,6,0.8114434573662903,0.007317061899333642,6,0.8030219515291214,0.012320663622967618,6,0.8221519116954771,0.011543460564472129,6,0.9937491306940691,0.0002498343229882327,6,0.6547619047619048,0.16615567926064667,6,0.09807202388670526,0.03923035436669416,6,1.0,0.0,6,1.0,0.0,6,0.014911613693194728,0.004938932181841286,6,0.003943779657775951,0.0024477102960385358,6,0.01096783403541878,0.003702397086254771,6
PEMS04,Byzantine_Noise,FedAvg,6,2.6800458828608194,1.487929985948385,6,3.395299474398295,1.3712428856420291,6,4.6522499322891235,2.3538514932235453,6,0.9205833333333332,0.012096225306543619,6,0.7256875222657411,0.06056516057477492,6,0.7071795721496881,0.09090531477240751,6,0.7722850560436356,0.037374702917493216,6,0.9919969582032544,0.0009129411000077383,6,0.5,0.0,6,0.3,0.0,6,0.0,0.0,6,0.0,0.0,6,0.5,0.0,6,0.5,0.0,6,0.0,0.0,6
PEMS04,Byzantine_Noise,FedProx,6,1.0409612854321797,0.029959704112488866,6,1.8835040132204692,0.022120967921833184,6,1.9282186031341553,0.04210827744533452,6,0.9457833333333333,0.0007840068026915701,6,0.8132983667807422,0.004286610581139201,6,0.8029120279394055,0.0087825925013077,6,0.8260620917037077,0.004796552227347567,6,0.9941026857236386,3.699349456449349e-05,6,0.5,0.0,6,0.3,0.0,6,0.0,0.0,6,0.0,0.0,6,0.5,0.0,6,0.5,0.0,6,0.0,0.0,6
PEMS04,Byzantine_Noise,Multi-Krum,6,1.0054856936136882,0.004120517388695413,6,1.866337517897288,0.018333721341804526,6,1.86894025405248,0.00759352687370156,6,0.9464583333333332,0.0008175675303402402,6,0.8174828582763044,0.004839537735989032,6,0.8087021169451978,0.0035180799166467545,6,0.8278400641719039,0.006937877708859017,6,0.9940142539757034,4.818567190562788e-05,6,1.0,0.0,6,0.0,0.0,6,1.0,0.0,6,0.14285714285714282,3.0404709722440586e-17,6,0.6666666666666669,1.7199501139797033e-16,6,0.11111111111111112,0.0,6,0.5555555555555555,9.930136612989092e-17,6
PEMS04,Byzantine_Noise,SCAFFOLD,6,1.0290337999661763,0.004438206274131907,6,1.896441916624705,0.0076836682019652425,6,1.9079532225926716,0.01305328306683694,6,0.9444333333333331,0.00043550736694880675,6,0.8121962035021796,0.002351663421646485,6,0.8047583586574599,0.0020183878921572833,6,0.8208948793403117,0.003930485727840366,6,0.9941359838614886,2.1562922916033982e-05,6,0.5,0.0,6,0.3,0.0,6,0.0,0.0,6,0.0,0.0,6,0.5,0.0,6,0.5,0.0,6,0.0,0.0,6
