dataset,algorithm,attack,seed,rounds,n_clients,n_params,malicious_frac,zt_tau,test_mae,test_rmse,test_mape,test_accuracy,test_macro_f1,test_macro_recall,test_macro_precision,test_weighted_f1,test_auc,val_mae,val_rmse,val_mape,val_accuracy,val_macro_f1,val_macro_recall,val_macro_precision,val_weighted_f1,val_auc,sec_trust_auc,sec_malicious_weight_mass,sec_tdr,sec_fpr,sec_mean_trust_benign,sec_mean_trust_malicious,sec_trust_margin,sec_tau_used,n_malicious,wall_time_s
METR-LA,FLTrust,No_Attack,45,40,10,7825,0.3,0.35,2.4580078125,4.380019664764404,6.100104331970215,0.83495,0.699434445118575,0.682276549785865,0.7199997895744618,0.8301827768248735,0.9748255920464226,2.3467085361480713,4.145340442657471,5.81968879699707,0.848,0.7031499462494728,0.6864055755653096,0.7249907475260416,0.8441677837880481,0.9775912222465404,,0.0,,,0.010553172836080194,,,0.35,3,272.1253168582916
METR-LA,FLTrust,No_Attack,46,40,10,7825,0.3,0.35,2.4758503437042236,4.403582572937012,6.077580451965332,0.8337,0.6984372069001455,0.6866282251460601,0.7116424715865374,0.8301025813985725,0.9743252871025395,2.3552677631378174,4.19024658203125,5.785821437835693,0.84615,0.7035631112072509,0.691849065430537,0.7173492619308037,0.8434702656689971,0.9770077686446197,,0.0,,,0.020129901822656393,,,0.35,3,273.4865882396698
METR-LA,FLTrust,No_Attack,47,40,10,7825,0.3,0.35,2.512756586074829,4.556741714477539,6.196683406829834,0.83145,0.6930688961058536,0.6791926918823956,0.7089270913880623,0.8272438290242955,0.9729127691649921,2.395052671432495,4.307118892669678,5.912083148956299,0.8461,0.701721163028059,0.6899188179294492,0.7148371018680926,0.8432088347767709,0.9764745916018452,,0.0,,,0.00553489439189434,,,0.35,3,272.8160526752472
METR-LA,Multi-Krum,No_Attack,42,40,10,7825,0.3,0.35,2.454153060913086,4.369813919067383,6.157315731048584,0.83335,0.699771273494237,0.6837445228600613,0.720834868653734,0.8302828343183742,0.9748460212710218,2.355318069458008,4.1451873779296875,5.958539962768555,0.84715,0.7045142672173785,0.6903104148494489,0.7245202920031378,0.8450169303325032,0.9777047663109821,,0.0,,,0.5,,,0.35,3,247.83350253105164
METR-LA,Multi-Krum,No_Attack,43,40,10,7825,0.3,0.35,2.458153009414673,4.3936285972595215,5.953323841094971,0.8339,0.7002022029929522,0.6888238343088043,0.7127709230462271,0.8305100654944708,0.9746078275853144,2.332184314727783,4.1381354331970215,5.637547969818115,0.846,0.7033478448723718,0.6917478411090364,0.7167755989644029,0.8435253726914752,0.9775484378235202,,0.0,,,0.5,,,0.35,3,248.2553427219391
METR-LA,Multi-Krum,No_Attack,44,40,10,7825,0.3,0.35,2.4470083713531494,4.362113952636719,6.009368419647217,0.8326,0.6982119710376631,0.6819892492048534,0.7173952531955821,0.82884695040637,0.9747424460976732,2.345320701599121,4.150651931762695,5.847578048706055,0.8466,0.7027810515601669,0.6866230988700404,0.7231948643269298,0.8433868221573548,0.9770401817438407,,0.0,,,0.5,,,0.35,3,248.30862712860107
METR-LA,Multi-Krum,No_Attack,45,40,10,7825,0.3,0.35,2.4379265308380127,4.355222225189209,5.919101238250732,0.8345,0.6994714206518607,0.6877853937670917,0.7124901664284298,0.8308031489016979,0.9750529332080049,2.332545518875122,4.14072847366333,5.666946887969971,0.84725,0.7047605364606431,0.6932493107968536,0.7184570630219788,0.844486060228448,0.9773601000585055,,0.0,,,0.5,,,0.35,3,248.8887267112732
METR-LA,Multi-Krum,No_Attack,46,40,10,7825,0.3,0.35,2.451160430908203,4.395046234130859,5.987380504608154,0.83375,0.6989665312604212,0.6844756203519436,0.7154058750722536,0.8299114200310658,0.974648606557612,2.329467296600342,4.13817024230957,5.719553470611572,0.8476,0.705716338442468,0.6921924511731897,0.7221045183436077,0.8448972872103919,0.9775225437610506,,0.0,,,0.5,,,0.35,3,247.5737247467041
METR-LA,Multi-Krum,No_Attack,47,40,10,7825,0.3,0.35,2.4445226192474365,4.351226806640625,6.128594875335693,0.83315,0.6995016580978006,0.6838425128165373,0.7190157193849036,0.8303718943405216,0.9750568750913646,2.3470118045806885,4.147665023803711,5.916316986083984,0.8474,0.7037602365558435,0.6899880360210383,0.723146916016289,0.8453716945513257,0.9775616989981236,,0.0,,,0.5,,,0.35,3,248.27825260162354
METR-LA,Static-Mamdani-FL,No_Attack,42,40,10,7825,0.3,0.35,2.4189271926879883,4.343947410583496,5.880821704864502,0.8361,0.7077210345384961,0.6948125855114029,0.7220022253354291,0.833126843022629,0.9748695656292615,2.315394878387451,4.101633548736572,5.623778820037842,0.8488,0.7099026201933454,0.6974460573394078,0.7246772159251925,0.8468094992005455,0.9776508238430267,,0.0,,,0.8081013861627829,,,0.35,3,250.13759207725525
METR-LA,Static-Mamdani-FL,No_Attack,43,40,10,7825,0.3,0.35,2.428981304168701,4.360850811004639,5.954946041107178,0.83465,0.7014300650088128,0.6879385333181136,0.716264787554042,0.8314121884641016,0.9750258834251094,2.316706657409668,4.1196370124816895,5.631460666656494,0.84775,0.7023565980708887,0.6891816330260208,0.7176666393113516,0.8450458069427065,0.9776964888184947,,0.0,,,0.7626639950860181,,,0.35,3,249.2911660671234
METR-LA,Static-Mamdani-FL,No_Attack,44,40,10,7825,0.3,0.35,2.439610719680786,4.373110294342041,6.058279514312744,0.83395,0.7008951241460497,0.6847290764874001,0.7203817304411888,0.8308239583091699,0.9746029692480069,2.33123517036438,4.13026237487793,5.777744770050049,0.84775,0.7058865770369813,0.6912368257543281,0.7246958425564488,0.8455057810441984,0.9774910090862716,,0.0,,,0.8165358085581126,,,0.35,3,250.32832622528076
METR-LA,Static-Mamdani-FL,No_Attack,45,40,10,7825,0.3,0.35,2.4360227584838867,4.387661933898926,6.003166198730469,0.8363,0.7012399110253208,0.6867873491226314,0.7178503060270538,0.8319810093125192,0.9749132815294189,2.314303398132324,4.1265997886657715,5.668323516845703,0.8501,0.707975109183265,0.6939183690402919,0.724736424185303,0.8468229948294693,0.9775979956309508,,0.0,,,0.748702610390903,,,0.35,3,252.08415365219116
METR-LA,Static-Mamdani-FL,No_Attack,46,40,10,7825,0.3,0.35,2.412968635559082,4.338858604431152,5.8970842361450195,0.8352,0.7019710738576167,0.6870464683770161,0.7190851021406942,0.8317715858663803,0.9749950931155456,2.3027737140655518,4.087836265563965,5.642129421234131,0.84935,0.7101085660886312,0.6959058802553871,0.7275163708726217,0.8468326160296121,0.9779661923922041,,0.0,,,0.8139213265731515,,,0.35,3,250.51399111747742
METR-LA,Static-Mamdani-FL,No_Attack,47,40,10,7825,0.3,0.35,2.421032190322876,4.343232154846191,5.964414596557617,0.83625,0.7023940660506652,0.6855106459505584,0.7224238512929089,0.8322515187334175,0.9751459312426219,2.304429292678833,4.094524383544922,5.667685508728027,0.84885,0.7053270426953328,0.689561107200416,0.7255860788075813,0.8459127972735944,0.9777794798537052,,0.0,,,0.7444145486204568,,,0.35,3,252.05090618133545
METR-LA,ZeroTrust-ANFIS-FL,No_Attack,42,40,10,7825,0.3,0.35,2.4282445907592773,4.364515781402588,5.92395544052124,0.83485,0.70041533360695,0.6873438651075553,0.714996167321035,0.831516470023817,0.9745844570161094,2.3070645332336426,4.107699394226074,5.625042915344238,0.84965,0.7087210171091712,0.6954158826030423,0.7244791210354825,0.8471935057178871,0.9778531083696106,,0.0,,,0.5479492864706952,,,0.35,3,250.971821308136
METR-LA,ZeroTrust-ANFIS-FL,No_Attack,43,40,10,7825,0.3,0.35,2.44888973236084,4.416804313659668,5.995448589324951,0.8329,0.694524325010976,0.681446454389247,0.7088527667945925,0.8296078990941865,0.9743344989193021,2.318580150604248,4.110973834991455,5.629451751708984,0.8488,0.7052435771485708,0.6926019657492845,0.719660905435087,0.8464133030184585,0.9778861609272632,,0.0,,,0.5507013551125554,,,0.35,3,250.26281929016113
METR-LA,ZeroTrust-ANFIS-FL,No_Attack,44,40,10,7825,0.3,0.35,2.4252679347991943,4.348840236663818,5.998403072357178,0.83585,0.7048147433034966,0.6887494723252172,0.7233510515668449,0.8325672140602693,0.9748151557264468,2.3249282836914062,4.113498210906982,5.733402252197266,0.84755,0.703630424956587,0.6889266860894294,0.7227915261395249,0.8451902706751622,0.9776771000838315,,0.0,,,0.5499573394994512,,,0.35,3,249.9404113292694
METR-LA,ZeroTrust-ANFIS-FL,No_Attack,45,40,10,7825,0.3,0.35,2.4257147312164307,4.371705055236816,5.932937145233154,0.83515,0.7016728304845994,0.6886834319689351,0.7162852283333823,0.8310372540050969,0.9751105933986244,2.3049678802490234,4.11426305770874,5.590439796447754,0.84905,0.7063648182404373,0.6932155895457275,0.7217548361720773,0.8459343341530307,0.9779461138066926,,0.0,,,0.5459861638386329,,,0.35,3,249.52713632583618
METR-LA,ZeroTrust-ANFIS-FL,No_Attack,46,40,10,7825,0.3,0.35,2.4182722568511963,4.341287612915039,5.836909770965576,0.83495,0.7019485731098694,0.6910419182180354,0.7138234498840414,0.8323863422926677,0.9749579492770667,2.302363634109497,4.087631702423096,5.573551654815674,0.84935,0.711095412264292,0.6999777897750816,0.7238423486998145,0.8475841202606145,0.9779504323897101,,0.0,,,0.548607384470116,,,0.35,3,249.4329550266266
METR-LA,ZeroTrust-ANFIS-FL,No_Attack,47,40,10,7825,0.3,0.35,2.416921854019165,4.347750663757324,5.851224422454834,0.8364,0.7038890257544472,0.690345038293804,0.7189680265506102,0.8329104948648365,0.9750933629781882,2.3063743114471436,4.104262828826904,5.602114200592041,0.8492,0.7077889263670425,0.6946541017992283,0.7234784147605517,0.8466662365722003,0.9778333318483572,,0.0,,,0.548553341567388,,,0.35,3,251.3172962665558
METR-LA,FedAvg,Byzantine_Noise,42,40,10,7825,0.3,0.35,3.5101237297058105,5.316656112670898,8.876104354858398,0.7976,0.5905754019546574,0.5553185005500533,0.6670750944070127,0.7796653946548869,0.9709195940986008,3.4617459774017334,5.184065341949463,8.861271858215332,0.81245,0.5990764993748708,0.5635781017076967,0.6794603431201507,0.7950308056161077,0.9733628064939851,0.5,0.3,0.0,0.0,0.5,0.5,0.0,0.35,3,247.4557671546936
METR-LA,FedAvg,Byzantine_Noise,43,40,10,7825,0.3,0.35,3.1201155185699463,4.732911109924316,7.467072486877441,0.7832,0.6677608218212306,0.6711094431195621,0.6768253561158761,0.7919773241913093,0.9705145030321873,2.9822449684143066,4.484722137451172,7.227232456207275,0.80545,0.6781071616510367,0.6823693020228662,0.6885708497476306,0.8131526493644725,0.9746108510186972,0.5,0.3,0.0,0.0,0.5,0.5,0.0,0.35,3,248.27989840507507
